Id,ActivityHour,TotalIntensity,AverageIntensity,Hour,Day_of_week
1503960366,2016-04-12 00:00:00,20,0.333333,0,Tuesday
1503960366,2016-04-12 01:00:00,8,0.133333,1,Tuesday
1503960366,2016-04-12 02:00:00,7,0.116667,2,Tuesday
1503960366,2016-04-12 08:00:00,13,0.216667,8,Tuesday
1503960366,2016-04-12 09:00:00,30,0.5,9,Tuesday
1503960366,2016-04-12 10:00:00,29,0.483333,10,Tuesday
1503960366,2016-04-12 11:00:00,12,0.2,11,Tuesday
1503960366,2016-04-12 12:00:00,11,0.183333,12,Tuesday
1503960366,2016-04-12 13:00:00,6,0.1,13,Tuesday
1503960366,2016-04-12 14:00:00,36,0.6,14,Tuesday
1503960366,2016-04-12 15:00:00,58,0.966667,15,Tuesday
1503960366,2016-04-12 16:00:00,13,0.216667,16,Tuesday
1503960366,2016-04-12 17:00:00,16,0.266667,17,Tuesday
1503960366,2016-04-12 18:00:00,29,0.483333,18,Tuesday
1503960366,2016-04-12 19:00:00,39,0.65,19,Tuesday
1503960366,2016-04-12 20:00:00,41,0.683333,20,Tuesday
1503960366,2016-04-12 21:00:00,31,0.516667,21,Tuesday
1503960366,2016-04-12 22:00:00,9,0.15,22,Tuesday
1503960366,2016-04-12 23:00:00,21,0.35,23,Tuesday
1503960366,2016-04-13 00:00:00,14,0.233333,0,Wednesday
1503960366,2016-04-13 03:00:00,4,0.066667,3,Wednesday
1503960366,2016-04-13 07:00:00,8,0.133333,7,Wednesday
1503960366,2016-04-13 08:00:00,12,0.2,8,Wednesday
1503960366,2016-04-13 09:00:00,27,0.45,9,Wednesday
1503960366,2016-04-13 10:00:00,15,0.25,10,Wednesday
1503960366,2016-04-13 11:00:00,16,0.266667,11,Wednesday
1503960366,2016-04-13 12:00:00,15,0.25,12,Wednesday
1503960366,2016-04-13 13:00:00,10,0.166667,13,Wednesday
1503960366,2016-04-13 14:00:00,46,0.766667,14,Wednesday
1503960366,2016-04-13 15:00:00,13,0.216667,15,Wednesday
1503960366,2016-04-13 16:00:00,10,0.166667,16,Wednesday
1503960366,2016-04-13 17:00:00,23,0.383333,17,Wednesday
1503960366,2016-04-13 18:00:00,25,0.416667,18,Wednesday
1503960366,2016-04-13 19:00:00,13,0.216667,19,Wednesday
1503960366,2016-04-13 22:00:00,11,0.183333,22,Wednesday
1503960366,2016-04-13 23:00:00,56,0.933333,23,Wednesday
1503960366,2016-04-14 00:00:00,4,0.066667,0,Thursday
1503960366,2016-04-14 01:00:00,3,0.05,1,Thursday
1503960366,2016-04-14 09:00:00,14,0.233333,9,Thursday
1503960366,2016-04-14 10:00:00,23,0.383333,10,Thursday
1503960366,2016-04-14 11:00:00,7,0.116667,11,Thursday
1503960366,2016-04-14 12:00:00,18,0.3,12,Thursday
1503960366,2016-04-14 13:00:00,54,0.9,13,Thursday
1503960366,2016-04-14 14:00:00,22,0.366667,14,Thursday
1503960366,2016-04-14 15:00:00,7,0.116667,15,Thursday
1503960366,2016-04-14 16:00:00,25,0.416667,16,Thursday
1503960366,2016-04-14 17:00:00,5,0.083333,17,Thursday
1503960366,2016-04-14 18:00:00,12,0.2,18,Thursday
1503960366,2016-04-14 19:00:00,1,0.016667,19,Thursday
1503960366,2016-04-14 20:00:00,24,0.4,20,Thursday
1503960366,2016-04-14 21:00:00,57,0.95,21,Thursday
1503960366,2016-04-14 22:00:00,17,0.283333,22,Thursday
1503960366,2016-04-15 00:00:00,6,0.1,0,Friday
1503960366,2016-04-15 01:00:00,5,0.083333,1,Friday
1503960366,2016-04-15 02:00:00,7,0.116667,2,Friday
1503960366,2016-04-15 05:00:00,1,0.016667,5,Friday
1503960366,2016-04-15 07:00:00,1,0.016667,7,Friday
1503960366,2016-04-15 08:00:00,5,0.083333,8,Friday
1503960366,2016-04-15 09:00:00,2,0.033333,9,Friday
1503960366,2016-04-15 10:00:00,8,0.133333,10,Friday
1503960366,2016-04-15 11:00:00,23,0.383333,11,Friday
1503960366,2016-04-15 12:00:00,13,0.216667,12,Friday
1503960366,2016-04-15 13:00:00,9,0.15,13,Friday
1503960366,2016-04-15 17:00:00,47,0.783333,17,Friday
1503960366,2016-04-15 18:00:00,22,0.366667,18,Friday
1503960366,2016-04-15 19:00:00,32,0.533333,19,Friday
1503960366,2016-04-15 20:00:00,8,0.133333,20,Friday
1503960366,2016-04-15 21:00:00,14,0.233333,21,Friday
1503960366,2016-04-15 22:00:00,66,1.1,22,Friday
1503960366,2016-04-15 23:00:00,95,1.583333,23,Friday
1503960366,2016-04-16 00:00:00,15,0.25,0,Saturday
1503960366,2016-04-16 02:00:00,3,0.05,2,Saturday
1503960366,2016-04-16 03:00:00,1,0.016667,3,Saturday
1503960366,2016-04-16 04:00:00,1,0.016667,4,Saturday
1503960366,2016-04-16 05:00:00,1,0.016667,5,Saturday
